Tivoli Sports Klettern - export by 8a.nu sync
location,difficulty,color_1,color_2,name,notes,set_at,link,web_link,mobile_link,routesetter,area,sector
1.1,3,#ff0000,,Hitzefrei,,2026-05-20 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364378,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364378/ascents,,Silas Pollmann,Sportklettern Empore,Empore
1.2,7,#ffd700,,Butterplatte,,2026-05-07 16:02:58 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-362766,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/362766/ascents,,Flo Weikert,Sportklettern Empore,Empore
1.3,4+,#e07511,#000000,Flatterband,,2026-05-26 12:02:48 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364393,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364393/ascents,,Jochen Schäfer,Sportklettern Empore,Empore
1.4,9-,#ffffff,#ff0000,Rätsel der Woche,,2026-06-02 10:40:56 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-365054,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/365054/ascents,,Jochen Schäfer,Sportklettern Empore,Empore
1.5,6-,#008000,,Eskalierende Deeskalation,,2026-06-16 10:08:27 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-366283,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/366283/ascents,,Jochen Schäfer,Sportklettern Empore,Empore
4.1,4,#ff0000,,Wurmling,,2026-05-06 13:06:11 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-362524,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/362524/ascents,,Jochen Schäfer,Sportklettern Empore,Empore
4.2,6+,#32cd32,,Hippo streck dich,,2026-05-11 17:41:24 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363125,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363125/ascents,,Thomas Busch,Sportklettern Empore,Empore
4.3,6-,#808080,,Hochspannung,,2026-05-06 13:11:41 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-362536,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/362536/ascents,,Jochen Schäfer,Sportklettern Empore,Empore
4.4,4+,#ffa500,,Affenschaukel erst oben,,2026-05-20 12:55:41 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363880,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363880/ascents,,Thomas Busch,Sportklettern Empore,Empore
5.1,3,#0000ff,,The blue parade,,2025-12-29 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-350492,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/350492/ascents,https://url.vertical-life.info/OuUrYYPk4JihsWhIW,Linus Baltes,Sportklettern Empore,Empore
5.2,6+,#ffff00,,Duett,,2026-01-03 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-350493,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/350493/ascents,https://url.vertical-life.info/eogFvoePcZG5yKjzH,Malina Schemm,Sportklettern Empore,Empore
5.3,5-,#ff69b4,#000000,Ein Untergriff kommt selten allein,,2025-12-29 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-350494,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/350494/ascents,https://url.vertical-life.info/ZQ2kaLdzCt1rA8cti,Linus Baltes,Sportklettern Empore,Empore
6.1,4,#008000,,Die mit dem Knick,,2025-11-27 15:31:37 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-347656,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/347656/ascents,https://url.vertical-life.info/lM6aiyC7EdxM7nyof,Linus Baltes,Sportklettern Empore,Empore
6.2,7+,#000000,,Rampe ohne Hände,,2025-12-08 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-349160,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/349160/ascents,https://url.vertical-life.info/lfECzXpeVRxsnKxYF,Silas Pollmann,Sportklettern Empore,Empore
6.3,5+,#ff69b4,#ffffff,Terra Nova,,2026-01-08 12:01:57 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-350734,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/350734/ascents,https://url.vertical-life.info/SKT2nDmhbIS1itnSL,Julius Dammann,Sportklettern Empore,Empore
7.1,5+,#9400d3,,Pflaumenmatsch,,2026-05-07 16:04:20 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-362767,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/362767/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
7.2,7+,#ffffff,#ff0000,Whiteout,,2026-05-13 13:01:41 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363334,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363334/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
7.3,4+,#ffa500,,Monster Safari,,2026-05-18 10:38:22 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363588,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363588/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
8.1,5,#808080,,Temporary high,,2026-05-13 13:02:36 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363336,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363336/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
8.2,6-,#ff0000,,Flut und Ebbe,,2026-05-18 06:43:38 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363567,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363567/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
8.3,8,#32cd32,,Unterarmbooster,,2026-05-27 13:44:14 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364582,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364582/ascents,,Schäfer Jochen,Sportklettern Erdgeschoß,Main Wall
9.1,5,#0000ff,,Grasshopper,,2026-05-07 16:05:26 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-362768,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/362768/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
9.2,7,#ffff00,,Zelten mit Bär,,2019-08-23 12:41:49 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-49767,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/49767/ascents,https://url.vertical-life.info/h3UsWmUPsCntLQhx9,Daniel Krommen,Sportklettern Erdgeschoß,Main Wall
9.3,7+,#e3bb09,#000000,Explosion,,2026-05-13 13:03:20 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-363341,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/363341/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
10.1,5,#008000,,American Idiot,,2026-04-17 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-360773,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/360773/ascents,,Laurin Ebert,Sportklettern Erdgeschoß,Main Wall
10.2,7+,#ff69b4,#ffffff,Boulevard of broken dreams,,2026-04-20 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-360883,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/360883/ascents,,Laurin Ebert,Sportklettern Erdgeschoß,Main Wall
10.3,8-,#000000,,In the edge,,2026-05-22 11:22:42 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364244,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364244/ascents,,Jochen Schäfer,Sportklettern Erdgeschoß,Main Wall
11.1,7+,#ffa500,,Frühlingsgefühle,,2026-04-23 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-361372,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/361372/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
11.2,6+,#ffffff,#ff0000,Eis-Zeit,,2026-04-23 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-361373,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/361373/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
11.3,4,#cfab8f,,Trainingsleiter Speedklettern,,2023-02-20 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-241513,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/241513/ascents,https://url.vertical-life.info/xKniiBvzmt2hFCWd6,N/A ,Sportklettern Erdgeschoß,Main Wall
12.1,5+,#808080,,Idiocracy,,2026-04-17 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-360776,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/360776/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
12.2,9,#32cd32,,Dancing in the moonlight,,2026-04-18 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-360778,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/360778/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
13.1,5,#ffa500,#000000,Tigerentenjägertrauma,,2026-04-15 07:06:38 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-360350,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/360350/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
13.2,6,#0000ff,,Rettet Timmy,,2026-04-24 10:48:02 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-361374,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/361374/ascents,,Silas Pollmann,Sportklettern Erdgeschoß,Main Wall
14.1,5+,#ff69b4,,Easy On Mars,,2026-07-28 13:17:04 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-369674,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/369674/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
14.2,6+,#000000,,Flowstate,,2026-07-28 13:17:22 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-369675,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/369675/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
14.3,8-,#008000,,Green Goblin,,2026-07-28 13:17:37 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-369676,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/369676/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
15.1,5-,#ffa500,,Sahara,,2026-07-31 09:25:20 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370078,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370078/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
15.2,8,#ffffff,#ff0000,Tower Of Power,,2026-07-31 09:25:46 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370079,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370079/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
15.3,7,#9400d3,#ffffff,Purple Rain,,2026-07-31 09:26:10 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370080,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370080/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
16.1,5-,#32cd32,,Warziger Makifrosch,,2026-07-30 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370081,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370081/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
16.2,6-,#ff0000,,Erdbeerfröschchen,,2026-07-30 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370082,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370082/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
17.1,7-,#ffff00,,Draw the line,,2026-07-27 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-369677,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/369677/ascents,,Laurin Ebert,Sportklettern Erdgeschoß,Main Wall
17.2,6+,#ffff00,,Cheat the line,Mit Innengriffen,2026-07-28 13:19:04 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-369678,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/369678/ascents,,Laurin Ebert,Sportklettern Erdgeschoß,Main Wall
17.3,5-,#ffa500,,Eulenweg,,2026-07-31 09:27:29 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-370083,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/370083/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
17.4,6+,#0000ff,,Behind Blue Eyes,,2026-07-28 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-371599,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/371599/ascents,,Laurin Ebert,Sportklettern Erdgeschoß,Main Wall
18.1,7,#ff69b4,,No-Drama-Queen,,2026-05-28 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364858,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364858/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
18.2,6+,#000000,,Gabbro,,2026-06-02 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-365154,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/365154/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
18.3,5+,#008000,,Green,,2026-06-06 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-365693,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/365693/ascents,,Julius Dammann,Sportklettern Erdgeschoß,Main Wall
19.1,8-,#9400d3,,Mimimimimimi,,2019-05-03 13:46:50 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-39250,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/39250/ascents,https://url.vertical-life.info/kemUDy6UcqDHjJhh9,Daniel Krommen,Sportklettern Erdgeschoß,Main Wall
19.2,5+,#f4a40f,,Auf zum Mars,,2026-05-28 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364861,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364861/ascents,,Dominik Schuler,Sportklettern Erdgeschoß,Main Wall
19.3,5,#ffffff,#ff0000,Calacatta Rosso,,2026-06-02 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-365155,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/365155/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
20.1,6-,#808080,,Dolomit,,2026-05-28 12:00:00 UTC,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/topos/sportclimbing#route-364862,https://www.8a.nu/gyms/badminton-kletterhalle-tivoli/zlaggables/sportclimbing/364862/ascents,,Thomas Busch,Sportklettern Erdgeschoß,Main Wall
